hotel_name,rating_food,food_type,location,offer,rating,delivery_time_mins,primary_food,discount_percent,offer_amount_rs,offer_type,has_offer
Wendy's Flavor Fresh Burgers,43 mins,"Burgers, American, Fast Food, Snacks, Beverages",Goregaon, ₹125 OFF ABOVE ₹499,,43.0,burgers,0.0,125.0,ABOVE,Yes
Mummy's Kitchen,3.5 • 61 mins,"Street Food, South Indian",Borivali West, 10% OFF UPTO ₹100,3.5,61.0,street food,10.0,100.0,UPTO,Yes
Cake Zone,4.2 • 40 mins,"Bakery, Desserts",Borivali West, ,4.2,40.0,bakery,0.0,0.0,NONE,Yes
Cake Point,2.4 • 40 mins,Cafe,Malad East, 30% OFF UPTO ₹150,2.4,40.0,cafe,30.0,150.0,UPTO,Yes
Mumma's kitchen,4.2 • 44 mins,North Indian,Borivali West, ₹175 OFF ABOVE ₹449,4.2,44.0,north indian,0.0,175.0,ABOVE,Yes
Friends Fast Food,4.5 • 43 mins,"Chinese, Indian",Kandivali West, ,4.5,43.0,chinese,0.0,0.0,NONE,Yes
Food Hub,4.4 • 49 mins,Chinese,Malad West, 20% OFF UPTO ₹120,4.4,49.0,chinese,20.0,120.0,UPTO,Yes
Vital Bowls,50 mins,"Healthy Food, Salads, Beverages, Keto",Goregaon, ₹125 OFF ABOVE ₹399,,50.0,healthy food,0.0,125.0,ABOVE,Yes
Wakka Makka Chinese,4 • 42 mins,"Chinese, Asian, Desserts, Beverages",Borivali West, ₹175 OFF ABOVE ₹449,,42.0,chinese,0.0,175.0,ABOVE,Yes
Tea Villa Cafe,4 • 46 mins,"Beverages, Asian, Italian-American, Arabian, Japanese, Fast Food, Waffle, Salads",Borivali West, ,,46.0,beverages,0.0,0.0,NONE,Yes
Shawarma Corner,3 • 54 mins,Arabian,Malad East, 50% OFF UPTO ₹250,,54.0,arabian,50.0,250.0,UPTO,Yes
The Sandwich House,3.7 • 46 mins,"Snacks, Fast Food, Pizzas, American, Desserts",Borivali West, ,3.7,46.0,snacks,0.0,0.0,NONE,Yes
CELEBRATE WITH CAKE,27 mins,Bakery,Malad East, ,,27.0,bakery,0.0,0.0,NONE,Yes
Live Puff Factory,29 mins,Snacks,Borivali West, ,,29.0,snacks,0.0,0.0,NONE,Yes
Sanjog Restaurant,3.9 • 32 mins,"Indian, Kebabs, Chinese, Tandoor, Biryani, Beverages, Juices",Dahisar, ,3.9,32.0,indian,0.0,0.0,NONE,Yes
Bottoms Up,4.7 • 29 mins,Beverages,Borivali West, ,4.7,29.0,beverages,0.0,0.0,NONE,Yes
Minus Zero Degree Icecreams,4.3 • 26 mins,"Desserts, Ice Cream, Beverages",Borivali West, ,4.3,26.0,desserts,0.0,0.0,NONE,Yes
